REGULAR RARES AND REGULAR MYTHIC RARES PRICES

To search for a card type control+f
Bot accounts: pisiiki3, supernova01, bifidus, ComparePrices, tina16, mteamtester, supernova02, pisiiki2

Name                                               Buy       Sell      Bot Account[Stock Available]
Miren, the Moaning Well [TD0]                      1.4       1.8       supernova01[1]
Umezawa's Jitte [TD0]                              2.25
Phyrexian Arena [TD0]                              2.35
Goblin Guide [TD0]                                 3.05
Life from the Loam [TD0]                           3.8       4.65      tina16[4]
Genesis [TD0]                                      4.05

=== Zendikar === [Total Buy/Sell Value: 104/124] =================================================================================================

Archmage Ascension [ZEN]                                     0.024     tina16[2] ComparePrices[3] supernova02[2]
World Queller [ZEN]                                0.01      0.022     mteamtester[2] supernova01[2]
Kazuul Warlord [ZEN]                               0.012     0.026     supernova02[2] supernova01[2]
Bala Ged Thief [ZEN]                                         0.028     supernova02[2] pisiiki3[4]
Sphinx of Jwar Isle [ZEN]                          0.012     0.028     pisiiki2[2] supernova01[1]
Elemental Appeal [ZEN]                             0.012     0.028     supernova01[2]
Blood Tribute [ZEN]                                0.014     0.028     supernova01[4] supernova02[1]
Sea Gate Loremaster [ZEN]                                    0.028     pisiiki3[4] supernova02[2]
Crypt of Agadeem [ZEN]                                       0.03      ComparePrices[1] mteamtester[1] supernova01[4]
Kabira Evangel [ZEN]                               0.014     0.03      supernova01[4]
Halo Hunter [ZEN]                                  0.014     0.03      supernova01[3] pisiiki2[1] bifidus[2]
Lavaball Trap [ZEN]                                0.014     0.03      supernova01[3]
Devout Lightcaster [ZEN]                           0.014
Conqueror's Pledge [ZEN]                           0.016     0.032     supernova01[1]
Gigantiform [ZEN]                                  0.016     0.032     pisiiki2[2]
Armament Master [ZEN]                              0.016     0.032     supernova01[4] pisiiki3[1]
Sphinx of Lost Truths [ZEN]                        0.016
Predatory Urge [ZEN]                               0.016     0.034     pisiiki3[1]
Lullmage Mentor [ZEN]                              0.016     0.034     supernova01[4]
Malakir Bloodwitch [ZEN]                           0.016     0.034     supernova01[1]
Roil Elemental [ZEN]                               0.016     0.034     supernova01[4]
Electropotence [ZEN]                               0.016     0.034     supernova01[1] bifidus[1]
Guul Draz Specter [ZEN]                            0.018     0.036     supernova01[1] pisiiki3[3]
Cosi's Trickster [ZEN]                             0.018     0.036     supernova01[1]
Turntimber Ranger [ZEN]                                      0.036     supernova01[4]
Grappling Hook [ZEN]                               0.02      0.038     supernova01[4]
Terra Stomper [ZEN]                                          0.04      pisiiki2[1] bifidus[1] supernova01[4]
Beastmaster Ascension [ZEN]                        0.024     0.046     supernova02[1] pisiiki3[2]
Hellkite Charger [ZEN]                             0.024
Celestial Mantle [ZEN]                             0.026     0.05      supernova01[1]
Scute Mob [ZEN]                                    0.026     0.052     supernova01[4]
Summoning Trap [ZEN]                               0.028     0.052     supernova01[2]
Magosi, the Waterveil [ZEN]                        0.028
Sadistic Sacrament [ZEN]                           0.032     0.06      supernova01[4] bifidus[1]
Oran-Rief, the Vastwood [ZEN]                      0.032
Day of Judgment [ZEN]                              0.036
Blade of the Bloodchief [ZEN]                      0.04      0.074     mteamtester[1] supernova01[2]
Emeria Angel [ZEN]                                 0.044     0.08      pisiiki3[1] supernova02[1] ComparePrices[1]
Luminarch Ascension [ZEN]                          0.048     0.086     supernova01[2] tina16[1]
Bloodchief Ascension [ZEN]                         0.06      0.105     supernova01[2] pisiiki3[1] tina16[1]
Archive Trap [ZEN]                                 0.088
Oracle of Mul Daya [ZEN]                           0.12
Emeria, the Sky Ruin [ZEN]                         0.125
Rite of Replication [ZEN]                          0.15
Valakut, the Molten Pinnacle [ZEN]                 0.165
Eternity Vessel [ZEN]                              0.175     0.23      supernova02[1]
Lorthos, the Tidemaker [ZEN]                       0.21
Obsidian Fireheart [ZEN]                           0.22
Pyromancer Ascension [ZEN]                         0.52
Rampaging Baloths [ZEN]                            0.58
Chandra Ablaze [ZEN]                               0.7       0.94      supernova02[1]
Kalitas, Bloodchief of Ghet [ZEN]                  0.82      1.05      supernova02[1]
Ob Nixilis, the Fallen [ZEN]                       1.1       1.4       supernova02[1]
Felidar Sovereign [ZEN]                            1.3
Bloodghast [ZEN]                                   1.95
Eldrazi Monument [ZEN]                             2.25
Sorin Markov [ZEN]                                 2.6
Nissa Revane [ZEN]                                 2.6
Goblin Guide [ZEN]                                 2.85
Warren Instigator [ZEN]                            3.7       4.55      bifidus[2] supernova01[1] mteamtester[1]
Lotus Cobra [ZEN]                                  6
Mindbreak Trap [ZEN]                               6.15
Marsh Flats [ZEN]                                  6.55      8.05      mteamtester[1] pisiiki2[1] supernova01[2]
Iona, Shield of Emeria [ZEN]                       6.65      8.15      tina16[1] pisiiki2[1]
Arid Mesa [ZEN]                                    10.3
Verdant Catacombs [ZEN]                            13.2      15.2      mteamtester[2]
Misty Rainforest [ZEN]                             14.5      16.7      tina16[4] bifidus[2]
Scalding Tarn [ZEN]                                18.4

=== Masters Edition III === [Total Buy/Sell Value: 138/162] ======================================================================================

Hazezon Tamar [ME3]                                0.01      0.022     mteamtester[1] pisiiki2[4] bifidus[1] ComparePrices[1] tina16[3]
Meng Huo, Barbarian King [ME3]                     0.012     0.026     tina16[2] supernova02[1] mteamtester[3] bifidus[3] supernova01[2] pisiiki3[1] ComparePrices[1] pisiiki2[1]
Sun Quan, Lord of Wu [ME3]                         0.014     0.03      ComparePrices[3] pisiiki2[1]
Palladia-Mors [ME3]                                0.016     0.036     pisiiki2[2] mteamtester[1]
Cosmic Horror [ME3]                                0.018     0.036     supernova01[1] mteamtester[1] tina16[2] ComparePrices[4] pisiiki2[2]
Nicol Bolas [ME3]                                  0.018     0.038     supernova01[1] pisiiki3[1] ComparePrices[3]
Land Equilibrium [ME3]                             0.018     0.038     tina16[1] pisiiki2[1]
Halfdane [ME3]                                     0.018     0.038     supernova02[1] bifidus[1] pisiiki2[4] supernova01[1]
Mana Vortex [ME3]                                  0.018     0.038     bifidus[1] supernova01[3] pisiiki2[2] mteamtester[2]
Voodoo Doll [ME3]                                  0.02      0.04      supernova01[2]
Akron Legionnaire [ME3]                            0.02      0.04      supernova01[1] tina16[1] ComparePrices[1]
Hellfire [ME3]                                     0.02      0.042     supernova01[2] ComparePrices[3] supernova02[2] bifidus[1]
Firestorm Phoenix [ME3]                            0.02      0.042     mteamtester[3] bifidus[1]
Dong Zhou, the Tyrant [ME3]                        0.022     0.042     bifidus[3] ComparePrices[4]
Chromium [ME3]                                     0.022     0.042     supernova02[4] supernova01[1]
Arena of the Ancients [ME3]                        0.022     0.042     tina16[1] supernova01[1] bifidus[3]
Life Chisel [ME3]                                  0.022     0.042     pisiiki2[2] ComparePrices[1] bifidus[1]
Rubinia Soulsinger [ME3]                           0.022     0.044     pisiiki2[1] ComparePrices[4]
Xira Arien [ME3]                                   0.022     0.044     supernova01[1] supernova02[4]
Guan Yu's 1,000-Li March [ME3]                     0.024     0.046     supernova01[2] ComparePrices[1] pisiiki2[1] pisiiki3[1]
Sorrow's Path [ME3]                                0.024     0.046     pisiiki2[1] bifidus[1]
Nova Pentacle [ME3]                                0.024     0.048     supernova01[2] supernova02[1] tina16[2] pisiiki3[2]
Divine Intervention [ME3]                          0.024     0.048     supernova02[1] pisiiki2[4]
Liu Bei, Lord of Shu [ME3]                         0.024     0.048     supernova02[1] supernova01[1]
Gabriel Angelfire [ME3]                            0.024     0.048     tina16[1] ComparePrices[3] bifidus[1]
